TransactionID,CardNumber,CardHolderName,ExpirationDate,TransactionDate,MerchantName,Category,Amount,Currency,Location,Status
fbf369af-22d0-4de2-877f-86767a2bf42c,3530638052678455,Joyce Davis,04/33,2023-08-20 09:31:01,Sawyer-Howard,Travel,3802.12,USD,"Port Jennifer, Saint Lucia",Declined
d34d2e75-cd0b-4c76-b627-73251995998b,30526202687412,Gary Obrien,04/25,2023-06-20 03:14:32,Dixon Ltd,Healthcare,3264.43,USD,"Timothyfort, Croatia",Declined
f36fff6f-1286-44e3-8793-81fd733440a5,676336741126,Patricia Bailey,05/30,2023-03-04 12:46:12,Poole-Mitchell,Automotive,527.17,USD,"Russelltown, Nigeria",Declined
44f4bff2-34a6-4718-b8d3-8933222f1f4c,4584836232248,Anthony Gill,07/27,2023-01-11 10:38:15,"Sanders, Young and Salas",Entertainment,1365.0,USD,"East Brandiport, Burundi",Pending
8712bd0e-5b9b-495a-8394-96d778729cc0,6571677454045817,Andrea Horton,12/25,2023-01-20 13:07:35,"Moore, Nguyen and Reese",Utilities,3810.12,USD,"Port Anthony, Reunion",Completed
799cfa4d-d543-448b-a8ed-587238703b6a,38901011334112,Randall Howell,11/25,2023-01-09 16:57:16,"Garcia, Moss and Hernandez",Automotive,1812.97,USD,"Lake Chelsea, Namibia",Declined
34d0a3dc-37c4-4df2-85c3-b173a05a7fc5,3528296382392109,Melanie Stephens,03/27,2023-02-27 12:58:44,Carroll and Sons,Education,1948.27,USD,"Leahland, Botswana",Completed
81a90b56-3471-44b7-a40a-b444f4bd137d,6526227876192973,Rachel Gordon,07/28,2023-07-08 15:03:30,Larson Ltd,Automotive,1792.57,USD,"Port Ashleyhaven, Estonia",Declined
595dfc68-53d2-4aa4-afa8-fc9fdcbb44b5,30300695312015,Steven Marshall II,02/30,2023-06-25 04:18:19,Wright Group,Groceries,14.46,USD,"Allisontown, Dominican Republic",Completed
89f4825c-d644-4431-a8ac-fba950998162,589682530383,Theresa Spears,08/26,2023-11-23 19:15:15,Hicks-Watson,Healthcare,3534.04,USD,"Katieberg, Estonia",Completed
626deabd-6e1d-4cd3-9a3b-a3656ba23389,374893378772004,Mark Parrish,05/24,2022-06-29 01:47:05,Novak-Roberts,Groceries,1987.9,USD,"Mirandafurt, Tunisia",Completed
97936dbd-7b5c-4285-9942-1c3461d42d1a,4873623083893284,Sarah Garcia,08/25,2023-07-23 15:59:47,"Martin, Daniels and Cox",Education,2255.53,USD,"South Sarah, Holy See (Vatican City State)",Declined
1b043de9-4046-441f-ab4f-153ac83ac7a7,340174938671999,Andrew Horne,12/24,2023-09-30 23:46:18,Bolton Group,Online Shopping,3413.03,USD,"Smithborough, Tuvalu",Declined
5b5f4470-c000-47ad-aebd-c843c70e128b,30530714493749,Heather Lee,06/29,2023-08-23 02:12:07,"Cowan, Wilson and Bennett",Education,3115.69,USD,"Lake Judy, Mauritius",Pending
eae35e64-c899-4638-a01a-c419c8d19cf6,3554398950980898,Kathleen Bright,11/27,2022-08-28 01:02:06,Fox-Contreras,Clothing,797.32,USD,"Forbesville, South Africa",Pending
